KnowledgeID,Category,KnowledgeName,KnowledgeDetail,ReferenceFile
109d9ecf-b3c5-40b5-a149-60d59bb57fcb,BYOD on AMPM,BYOD Registration Process,"ขั้นตอนการสมัคร BYOD บน MPM:
1. Login ที่ ampm.mfec.co.th
2. เลือก MPM Application
3. คลิก Tab BYOD
4. กรอกข้อมูลในฟอร์มให้ครบถ้วน รวมถึงข้อมูล Asset ที่ถือครอง (ถ้ามี)
5. กด OK เพื่อบันทึกข้อมูล
6. กด Submit เพื่อส่งให้หัวหน้างานและ IT อนุมัติ",main/BYOD on AMPM/Manual BYOD On MPM By Sense.pdf
8ec5a5e0-155b-4cab-9d6e-a82c94f1fcb5,BYOD on AMPM,BYOD Approval Process,"ขั้นตอนการอนุมัติ BYOD:
1. เมื่อมีผู้สมัคร Submit BYOD จะมีอีเมลแจ้งเตือน
2. คลิก Link ในอีเมลเพื่อไปยัง MPM
3. คลิก View เพื่อดูรายละเอียดการสมัคร
4. ใส่ผลการอนุมัติ (Approve/Reject) แล้วกด OK",main/BYOD on AMPM/Manual BYOD On MPM By Sense.pdf
e27c18b2-8186-4a46-a28a-f468e6a3f2a9,How to generate MFA,Login Office.com,เข้าสู่ระบบ Office.com ด้วยอีเมลของ MFEC,main/How to generate MFA/how to generate mfa.pdf
ecc1edee-2c64-4ab1-83ab-ab1ecb83b759,How to generate MFA,ตั้งชื่อ Account MFA,ตั้งชื่อ account MFA ในระบบ โดยมีความยาวอย่างน้อย 8 ตัวอักษร,main/How to generate MFA/how to generate mfa.pdf
f881648e-9e2e-491d-907f-aa5296695b34,How to generate MFA,Copy Password MFA,คัดลอก (copy) รหัสผ่านที่ Microsoft สร้างให้ ไปใส่ใน Outlook เมื่อระบบแจ้งให้ใส่ password,main/How to generate MFA/how to generate mfa.pdf
9ab9a351-80f8-4fbc-8728-f8313fde6c80,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: ดาวน์โหลดและแตกไฟล์,ดาวน์โหลด Driver Samsung X4300 จากนั้นทำการแตกไฟล์ (Extract) ที่ดาวน์โหลดมาเพื่อเตรียมสำหรับการติดตั้ง,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
84cc5f29-f73c-4457-bfbb-be9e660f6f87,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: การติดตั้ง Driver,เรียกใช้ไฟล์ Setup เพื่อเริ่มการติดตั้ง Driver Printer Samsung X4300,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
b10ef715-62d4-480d-9886-05335dd642ec,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: ข้อตกลงและ Privacy,อ่านและยอมรับข้อตกลงการใช้งานซอฟต์แวร์ (End User License Agreement) และนโยบายความเป็นส่วนตัว (Privacy Statement) ก่อนดำเนินการติดตั้งต่อ,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
aaae4e87-c5e9-46de-aec3-6b3f86f30c9f,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: เลือกประเภทการเชื่อมต่อ,เลือกว่าจะเชื่อมต่อ Printer กับคอมพิวเตอร์ผ่าน Network หรือ Ethernet cable,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
e1c66b36-17a0-44f0-bca2-e8a81442944e,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: Network Connection,สำหรับการเชื่อมต่อแบบ Network ตรวจสอบให้แน่ใจว่า Printer รองรับ Network และเชื่อมต่อสาย Network แล้ว,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
a4c51e41-af5b-49c9-b64d-433c9c5c5d3f,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: Ethernet Connection,สำหรับการเชื่อมต่อผ่าน Ethernet cable ให้เปิด Printer และเชื่อมต่อสาย Ethernet จากนั้นคลิก 'Next' ,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
33f2608f-6fc9-4387-b45a-84133a55b026,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: ไม่พบ Printer,หากโปรแกรมติดตั้งไม่พบ Printer ตรวจสอบให้แน่ใจว่า Printer เปิดอยู่และเชื่อมต่อกับคอมพิวเตอร์แล้ว จากนั้นคลิก 'Search Again' ,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
07ccfb4e-3c9b-42d0-ae9b-ad8bcd6aa838,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: ค้นหา Printer,สามารถระบุ Printer ด้วยชื่อ Host หรือ IP address หรือค้นหาในช่วง IP address ที่กำหนด,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
2c15b429-ee8f-49a3-987f-7666bc2ddbc5,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: ตั้งค่า Printer,"สามารถเปลี่ยนชื่อ Printer, กำหนด Printer default และ Share Printer กับผู้ใช้งานอื่นบน Network ได้",main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
291fde9e-4962-4abb-a5ae-d9347d3e3e16,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: ติดตั้ง Driver,โปรแกรมจะทำการติดตั้ง Driver Printer,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
f4f0bd9b-b40c-4123-a581-2506b2a03f7f,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: พิมพ์หน้าทดสอบ,เลือกพิมพ์หน้าทดสอบ (Print a test page) หลังจากการติดตั้งเสร็จสิ้น,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
f99154d5-01b0-4b5f-b508-782c595fe604,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Printer Settings (Windows),Access printer settings and preferences through Windows Settings > Bluetooth & devices > Printers & scanners,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
c1e080d5-7a42-47ed-b76c-ad69bd88ffa5,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: Printer Properties,"เข้าถึง Printer Properties เพื่อปรับแต่งการตั้งค่าขั้นสูง เช่น Sharing, Ports, Advanced settings, Color Management, Security และ Device Options",main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
860817d5-9991-4a29-9ec0-2f0f1306095e,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: Printing Defaults,ตั้งค่า Default Printing เช่น Paper type และ Device settings,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
63644025-4696-4d14-8bbd-ad8ed65521e6,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: Job Accounting,ตั้งค่า Job Accounting เพื่อควบคุมการใช้งาน Printer โดยกำหนด User permission หรือ Group permission และ ID,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
e6e4b1c1-b0a3-418a-9699-605353f37484,AMPM,Step Sync User NAV to MPM,"ขั้นตอนการ Sync ข้อมูล User จาก NAV ไปยัง MPM Server โดย SSH เข้าไปยัง MPM Server ที่ IP 10.6.100.21 port 22 ด้วย user ของ IT, sudo -i, cd ไปที่ /rails_apps/new-mpm และรัน ./update_employee",main/AMPM/MPM Script.docx; main/AMPM/Manual for support-OT.docx; main/AMPM/คู่มือเกี่ยวกับAMPMทั้งหมด.docx
05dccdf7-46d2-4f76-8d77-9df1010bb056,AMPM,MPM Add Permission,"การเพิ่มสิทธิ์การเข้าใช้งานระบบ MPM โดยเข้าไปที่ MPM -> Admin -> Users ค้นหา User ที่ต้องการ แล้ว Edit Group ให้ตรงกับสิทธิ์ที่ร้องขอ โดย Role PM จะได้ Group: PM อัตโนมัติ, Role อื่นๆ ต้องเพิ่มสิทธิ์ตาม Request",main/AMPM/MPM Script.docx; main/AMPM/Manual for support-OT.docx; main/AMPM/คู่มือเกี่ยวกับAMPMทั้งหมด.docx
462befc7-7ded-4ce5-839d-cc30a86eeb4d,AMPM,MPM Edit Permission,การแก้ไขสิทธิ์การเข้าใช้งานระบบ MPM โดยเข้าไปที่ MPM -> Admin -> Users ค้นหา User ที่ต้องการ แล้ว Edit Group ที่ต้องการเอาสิทธิ์ออก,main/AMPM/MPM Script.docx; main/AMPM/Manual for support-OT.docx; main/AMPM/คู่มือเกี่ยวกับAMPMทั้งหมด.docx
9bec3041-7d11-4b68-ada3-1ace97700c6c,AMPM,MPM Add User (Customer),การเพิ่ม User ลูกค้าเพื่อเข้าใช้งานระบบ Mantis ต้องให้ PM ส่งข้อมูลให้ IT Support เพิ่มชื่อเข้า b2c ก่อน จากนั้น Add User ใน MPM -> Admin -> Users -> New User (not MFEC) แล้วระบุข้อมูลที่จำเป็น และเพิ่มสิทธิ์ใน Project ที่ต้องการ โดยกำหนด Role: Customer และ Update to ITS,main/AMPM/MPM Script.docx; main/AMPM/Manual for support-OT.docx; main/AMPM/คู่มือเกี่ยวกับAMPMทั้งหมด.docx
e88af3ce-52a7-4373-9983-10bbe5fdd65e,AMPM,MPM Add Limit Dates,การเพิ่ม Limit Dates เพื่อกำหนดระยะเวลาการ Key/Approve Timesheet และ OT ของแต่ละเดือน โดยเพิ่มข้อมูลในช่วงปลายปี ก่อนเริ่มปีใหม่ ที่ MPM -> Admin -> Limit Dates,main/AMPM/MPM Script.docx; main/AMPM/Manual for support-OT.docx; main/AMPM/คู่มือเกี่ยวกับAMPMทั้งหมด.docx
98ab34d1-5c3a-4665-8a7a-3ebacd11f339,AMPM,MPM Add Holidays,การเพิ่มวันหยุดประจำปีในระบบ MPM เพื่อแสดงเป็นวันหยุดของบริษัท ในตารางการ Key Timesheet โดยเข้าไปที่ MPM -> Admin -> Holidays,main/AMPM/MPM Script.docx; main/AMPM/Manual for support-OT.docx; main/AMPM/คู่มือเกี่ยวกับAMPMทั้งหมด.docx
f0ca7f41-dd68-4e23-aa76-b1719bd19ff1,AMPM,SVN Create,"การสร้าง SVN สำหรับโปรเจค โดย admin ต้อง Create SVN ตาม Request โดยต้องทำ 2 ส่วน: 1. Putty ไปที่ 10.6.100.26 Login itoper, พิมพ์ cd /svn_config แล้ว ./csvn (ชื่อ svn) -t  2. ติดตั้งโปรแกรม SVN และ Add Path: https://isvn.mfec.co.th/svn/mfec-tools/Working/SSF/isvn/svn_config/access_svn/ แล้วแก้ไขไฟล์ access เพื่อกำหนด Role และ Path",main/AMPM/MPM Script.docx; main/AMPM/Manual for support-OT.docx; main/AMPM/คู่มือเกี่ยวกับAMPMทั้งหมด.docx
c45fa953-271f-4f0c-8e37-6036527e7965,AMPM,SVN Add Permission,การเพิ่มสิทธิ์ SVN โดยเข้าไปที่ Folder SVN ในเครื่อง Admin ที่ Add Path SVN เรียบร้อยแล้ว ค้นหาชื่อ SVN ที่ต้องการเพิ่มสิทธิ์ แล้วเพิ่มชื่อ User ตาม Role ที่ได้รับการร้องขอ และ Commit ไฟล์ access,main/AMPM/MPM Script.docx; main/AMPM/Manual for support-OT.docx; main/AMPM/คู่มือเกี่ยวกับAMPMทั้งหมด.docx
